0.03,0.255,0.334,0.419,0.591,0.626,0.704,0.762,0.818,1.015,1.096,1.132,1.18,1.262,1.287,1.321,1.474,1.508,1.525,1.669,1.799,1.969,2.091,2.117,2.156,2.334,2.371,2.501,2.574,2.697,2.929,2.978,3.008,3.1,3.204,3.371,3.421,3.553,3.602,3.783,3.847,3.985,4.149,4.415,4.476,4.563,4.6,4.682,4.747,4.85,4.975,5.026,5.13,5.206,5.298,5.334,5.355,5.388,5.529,5.615,5.692,5.735,5.79,5.86,5.911,6.028,6.064,6.109,6.176,6.198,6.287,6.347,6.395,6.442,6.47,6.498,6.547,6.613,6.629,6.67,6.728,6.821,6.855,6.913,7.001,7.206,7.429,7.45,7.521,7.664,7.741,7.835,7.917,7.97,7.998,8.032,8.102,8.132,8.145,8.208,8.301,8.326,8.376,8.661,8.894,8.943,8.995,9.124,9.167,9.209,9.372,9.408,9.628,9.682,9.742,9.868,9.899,9.931,9.989,10.036,10.059,10.38,10.404,10.44,10.472,10.513,10.562,10.677,10.744,10.781,10.815,10.904,10.949,11.026,11.064,11.097,11.2,11.243,11.283,11.362,11.447,11.486,11.601,11.711,11.747,11.79,11.817,11.857,11.922,11.988,12.061,12.159,12.19,12.458,12.554,12.584,12.642,12.692,12.761,12.835,12.984,13.032,13.084,13.2,13.262,13.349,13.429,13.452,13.528,13.587,13.622,13.787,13.876,13.902,13.915,13.959,13.994,14.095,14.148,14.423,14.539,14.652,14.734,14.755,14.803,14.923,15.003,15.148,15.184,15.378,15.425,15.572,15.694,15.758,15.792,15.822,15.899,16.101,16.142,16.29,16.528,16.547,16.621,16.709,16.731,16.788,16.853,16.89,16.956,16.976,16.992,17.017,17.082,17.161,17.18,17.203,17.253,17.274,17.299,17.375,17.589,17.644,17.681,17.778,17.847,18.03,18.114,18.169,18.224,18.292,18.352,18.459,18.512,18.531,18.612,18.65,18.67,18.773,18.861,18.975,19.027,19.096,19.134,19.179,19.266,19.358,19.459,19.528,19.545,19.586,19.668,19.731,19.765,19.789,19.825,19.902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.05,0.129,0.188,0.212,0.595,0.735,0.767,0.815,0.889,0.956,1.026,1.091,1.236,1.444,1.461,1.51,1.673,1.702,1.744,1.798,1.832,1.966,2.073,2.101,2.147,2.292,2.341,2.433,2.485,2.654,2.711,2.792,2.832,2.882,2.913,2.993,3.01,3.111,3.137,3.231,3.337,3.395,3.517,3.602,3.7,3.88,3.913,3.977,4.036,4.079,4.105,4.148,4.276,4.385,4.437,4.58,4.606,4.72,4.86,4.89,4.917,4.968,5.106,5.189,5.234,5.309,5.376,5.531,5.582,5.641,5.665,5.816,5.878,6.008,6.042,6.085,6.112,6.188,6.238,6.263,6.299,6.371,6.391,6.514,6.636,6.665,6.833,6.922,6.958,6.984,7.047,7.184,7.204,7.271,7.311,7.429,7.519,7.542,7.563,7.661,7.704,7.739,7.793,7.867,7.955,7.989,8.031,8.359,8.41,8.556,8.588,8.61,8.712,8.738,8.864,8.952,8.987,9.045,9.066,9.162,9.344,9.361,9.431,9.623,9.708,9.864,9.982,10.091,10.194,10.255,10.352,10.383,10.401,10.659,10.759,10.836,10.847,10.925,11.056,11.091,11.203,11.232,11.511,11.549,11.611,11.703,11.773,11.874,11.913,11.942,11.975,12.212,12.341,12.388,12.568,12.686,12.718,12.738,12.835,12.932,12.985,13.014,13.134,13.23,13.259,13.379,13.437,13.704,13.736,13.809,13.909,14.149,14.261,14.293,14.333,14.353,14.428,14.47,14.518,14.55,14.629,14.673,14.699,14.838,14.866,14.97,15.008,15.045,15.137,15.171,15.254,15.271,15.318,15.356,15.445,15.632,15.683,15.715,15.786,15.901,15.981,16.057,16.189,16.213,16.244,16.323,16.403,16.496,16.746,16.796,16.821,16.863,16.887,16.958,17.027,17.061,17.122,17.226,17.304,17.38,17.469,17.496,17.595,17.667,17.695,17.776,17.823,17.864,17.92,17.976,18.041,18.083,18.178,18.256,18.343,18.392,18.405,18.533,18.552,18.622,18.676,18.896,18.939,19.009,19.088,19.132,19.172,19.195,19.282,19.316,19.353,19.445,19.477,19.505,19.577,19.667,19.711,19.738,19.914,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.185,0.216,0.266,0.422,0.49,0.558,0.604,0.642,0.67,0.731,0.755,0.812,0.853,0.88,1.06,1.111,1.206,1.316,1.4,1.451,1.502,1.585,1.666,1.696,1.873,1.885,1.91,2.049,2.103,2.193,2.308,2.394,2.426,2.517,2.582,2.597,2.635,2.659,2.71,2.794,2.814,2.87,2.934,2.964,2.987,3.134,3.26,3.291,3.381,3.419,3.459,3.533,3.553,3.633,3.673,3.708,3.858,3.94,4.073,4.125,4.507,4.571,4.848,4.999,5.082,5.108,5.361,5.375,5.455,5.543,5.593,5.651,5.673,5.706,5.753,5.824,5.922,5.943,5.98,6.003,6.172,6.191,6.335,6.387,6.419,6.579,6.652,6.683,6.73,6.794,6.836,6.902,7.004,7.042,7.175,7.3,7.369,7.426,7.446,7.603,7.66,7.71,7.751,7.784,7.863,7.893,7.927,8.018,8.045,8.075,8.099,8.256,8.324,8.416,8.491,8.58,8.605,8.649,8.734,8.993,9.073,9.095,9.117,9.152,9.205,9.288,9.491,9.601,9.655,9.713,9.773,9.87,9.89,9.941,9.967,10.013,10.072,10.114,10.177,10.209,10.234,10.321,10.391,10.46,10.48,10.503,10.526,10.55,10.563,10.663,10.741,10.753,10.828,10.942,11.185,11.252,11.283,11.394,11.448,11.479,11.555,11.751,11.816,11.954,12.069,12.096,12.132,12.208,12.271,12.559,12.582,12.637,12.808,12.827,12.906,12.936,12.981,13.006,13.078,13.138,13.313,13.369,13.405,13.579,13.619,13.655,13.791,13.81,13.831,13.933,13.98,14.029,14.153,14.321,14.488,14.751,14.799,14.827,14.879,14.897,14.959,14.996,15.121,15.169,15.253,15.361,15.424,15.498,15.56,15.594,15.619,15.676,15.731,15.768,16.057,16.078,16.162,16.196,16.213,16.298,16.388,16.449,16.56,16.661,16.758,16.808,16.936,16.99,17.063,17.186,17.219,17.377,17.408,17.471,17.569,17.675,17.753,17.833,17.97,18.069,18.192,18.235,18.277,18.43,18.566,18.634,18.663,18.697,18.953,19.02,19.084,19.207,19.385,19.567,19.685,19.719,19.779,19.866,19.898,19.963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.08,0.123,0.153,0.173,0.204,0.265,0.293,0.386,0.428,0.506,0.568,0.602,0.667,0.722,0.805,0.825,0.918,0.969,1.152,1.248,1.307,1.357,1.376,1.479,1.574,1.638,1.693,1.728,1.937,2.065,2.151,2.323,2.367,2.459,2.541,2.624,2.734,2.774,2.911,3.037,3.282,3.367,3.39,3.407,3.446,3.464,3.577,3.617,3.647,3.801,3.868,3.946,4.038,4.069,4.1,4.141,4.173,4.223,4.39,4.461,4.584,4.668,4.701,4.79,4.818,4.846,4.906,5.111,5.148,5.256,5.283,5.337,5.392,5.419,5.475,5.521,5.596,5.61,5.644,5.691,5.799,5.821,5.869,5.901,5.954,5.993,6.021,6.048,6.113,6.208,6.239,6.272,6.325,6.478,6.5,6.592,6.663,6.702,6.829,6.852,6.948,7.048,7.083,7.114,7.175,7.206,7.308,7.355,7.575,7.692,7.742,7.792,7.956,8.059,8.084,8.157,8.332,8.363,8.519,8.694,8.843,8.87,8.888,8.998,9.023,9.201,9.226,9.273,9.311,9.389,9.439,9.49,9.575,9.674,9.733,9.9,9.936,9.951,9.995,10.02,10.051,10.113,10.176,10.223,10.284,10.334,10.369,10.403,10.458,10.495,10.515,10.569,10.585,10.631,10.698,10.733,10.828,10.885,10.935,10.991,11.137,11.23,11.263,11.346,11.409,11.484,11.669,11.73,11.792,11.813,11.856,11.895,12.048,12.113,12.134,12.235,12.26,12.299,12.342,12.465,12.543,12.714,12.835,12.854,12.943,13.024,13.077,13.113,13.199,13.231,13.278,13.367,13.461,13.505,13.537,13.572,13.714,13.796,13.846,13.95,14.086,14.168,14.246,14.274,14.39,14.451,14.486,14.52,14.551,14.622,14.641,14.692,14.76,14.857,14.929,14.984,15.016,15.164,15.203,15.252,15.27,15.311,15.377,15.405,15.445,15.489,15.519,15.548,15.609,15.644,15.726,15.772,15.81,15.978,15.99,16.108,16.247,16.264,16.282,16.309,16.42,16.468,16.512,16.554,16.603,16.634,16.654,16.724,16.825,17.029,17.08,17.113,17.335,17.449,17.515,17.643,17.75,17.797,17.876,17.902,17.974,18.074,18.108,18.212,18.242,18.278,18.44,18.562,18.641,18.686,18.728,18.83,18.855,18.888,18.997,19.119,19.163,19.178,19.322,19.374,19.454,19.592,19.682,19.712,19.764,19.952,19.994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.17,0.207,0.29,0.388,0.437,0.471,0.517,0.548,0.617,0.637,0.748,0.786,0.814,0.855,0.875,0.906,0.99,1.016,1.049,1.083,1.132,1.196,1.34,1.363,1.469,1.519,1.553,1.597,1.632,1.71,1.85,1.912,1.948,2.009,2.074,2.182,2.225,2.372,2.41,2.485,2.524,2.582,2.62,2.709,2.742,2.787,2.841,2.908,2.967,2.998,3.041,3.091,3.188,3.225,3.391,3.444,3.52,3.595,3.651,3.729,3.755,3.872,3.995,4.065,4.105,4.165,4.286,4.435,4.479,4.594,4.623,4.66,4.744,4.816,5.044,5.107,5.128,5.224,5.329,5.404,5.464,5.51,5.657,5.707,5.805,5.937,5.98,6.01,6.064,6.122,6.144,6.221,6.241,6.296,6.309,6.353,6.484,6.537,6.653,6.683,6.743,6.76,6.941,6.969,6.991,7.023,7.036,7.053,7.2,7.222,7.247,7.338,7.372,7.463,7.55,7.607,7.633,7.748,7.876,7.913,7.979,8.013,8.105,8.246,8.392,8.441,8.486,8.514,8.585,8.622,8.744,8.847,8.916,9.163,9.297,9.333,9.348,9.545,9.601,9.742,9.794,9.823,9.883,9.92,9.945,9.978,10.003,10.122,10.151,10.306,10.402,10.434,10.468,10.495,10.553,10.587,10.611,10.676,10.69,10.889,10.971,11.072,11.21,11.293,11.37,11.428,11.521,11.534,11.655,11.67,11.711,11.776,11.804,11.878,11.922,11.938,11.982,12.024,12.055,12.093,12.261,12.299,12.446,12.518,12.55,12.607,12.814,12.85,12.956,12.977,13.005,13.075,13.114,13.158,13.176,13.258,13.297,13.53,13.583,13.638,13.718,13.736,13.768,13.922,13.936,14.012,14.039,14.104,14.289,14.375,14.416,14.467,14.525,14.583,14.69,14.78,14.86,14.911,15.051,15.106,15.3,15.378,15.42,15.457,15.541,15.571,15.803,15.851,15.881,16.09,16.221,16.276,16.315,16.372,16.456,16.531,16.548,16.596,16.633,16.67,16.833,16.868,17.068,17.114,17.164,17.291,17.324,17.36,17.376,17.655,17.736,17.767,17.788,17.833,17.852,17.895,17.956,18.042,18.13,18.177,18.204,18.297,18.344,18.423,18.481,18.535,18.562,18.579,18.632,18.702,18.825,18.898,18.944,18.989,19.074,19.128,19.167,19.233,19.386,19.412,19.47,19.508,19.552,19.607,19.757,19.793,19.851,19.886,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.087,0.139,0.185,0.212,0.25,0.29,0.31,0.343,0.401,0.429,0.476,0.508,0.622,0.641,0.678,0.718,0.751,0.788,0.899,0.95,0.977,1.182,1.226,1.344,1.457,1.578,1.613,1.635,1.727,1.812,1.939,2.013,2.067,2.087,2.197,2.249,2.351,2.394,2.478,2.574,2.713,2.751,2.884,3.134,3.188,3.345,3.389,3.554,3.744,3.791,3.828,3.864,3.942,4.007,4.028,4.044,4.132,4.16,4.198,4.224,4.25,4.273,4.379,4.461,4.536,4.591,4.635,4.79,4.874,4.926,5.001,5.052,5.084,5.131,5.15,5.183,5.3,5.327,5.419,5.54,5.598,5.716,5.742,5.87,5.903,6.124,6.199,6.339,6.436,6.463,6.519,6.548,6.691,6.72,6.764,6.829,6.899,7.038,7.166,7.198,7.279,7.363,7.481,7.54,7.578,7.597,7.653,7.741,7.816,7.852,7.881,7.969,8.093,8.178,8.21,8.247,8.28,8.297,8.346,8.377,8.41,8.485,8.634,8.74,8.877,8.924,9.006,9.07,9.164,9.19,9.265,9.292,9.368,9.474,9.526,9.553,9.579,9.725,9.76,9.863,9.912,10.011,10.055,10.07,10.154,10.251,10.36,10.394,10.432,10.47,10.556,10.592,10.611,10.642,10.664,10.741,10.862,11.312,11.335,11.35,11.418,11.466,11.562,11.589,11.638,11.779,11.804,11.818,11.969,11.986,12.076,12.135,12.287,12.33,12.386,12.462,12.506,12.572,12.643,12.683,12.7,12.731,12.771,12.794,12.887,12.928,13.047,13.071,13.141,13.275,13.333,13.504,13.547,13.578,13.649,13.699,13.72,13.756,13.833,13.896,13.948,14.248,14.272,14.347,14.38,14.434,14.619,14.791,14.939,15.002,15.107,15.147,15.351,15.4,15.451,15.481,15.52,15.578,15.604,15.675,15.757,15.891,15.94,16.034,16.054,16.148,16.222,16.261,16.292,16.441,16.601,16.655,16.706,16.773,16.818,16.863,16.963,17.038,17.132,17.23,17.338,17.379,17.395,17.549,17.594,17.621,17.799,17.859,17.974,18.009,18.031,18.066,18.123,18.181,18.226,18.377,18.441,18.501,18.519,18.575,18.64,18.751,18.798,18.857,18.892,19.058,19.085,19.126,19.216,19.262,19.341,19.409,19.427,19.545,19.649,19.706,19.868,19.985,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.057,0.102,0.127,0.158,0.254,0.36,0.458,0.484,0.531,0.66,0.751,0.783,1.047,1.138,1.167,1.211,1.251,1.347,1.414,1.434,1.579,1.604,1.844,1.986,2.02,2.06,2.205,2.227,2.306,2.322,2.339,2.366,2.449,2.498,2.609,2.677,2.713,2.817,2.887,3.003,3.074,3.135,3.157,3.242,3.337,3.419,3.437,3.455,3.569,3.634,3.704,3.754,3.815,3.843,3.88,3.955,3.99,4.023,4.121,4.187,4.223,4.344,4.594,4.644,4.755,4.881,4.918,4.998,5.017,5.066,5.113,5.216,5.331,5.419,5.486,5.507,5.602,5.632,5.713,5.747,5.778,5.821,5.844,5.949,6.0,6.025,6.135,6.211,6.228,6.312,6.418,6.462,6.616,6.684,6.726,6.744,6.763,6.841,6.92,6.941,7.117,7.198,7.293,7.362,7.399,7.425,7.497,7.586,7.639,7.675,7.702,7.743,7.791,7.871,7.948,7.982,8.166,8.209,8.24,8.287,8.336,8.38,8.436,8.524,8.578,8.644,8.664,8.721,8.766,8.845,8.925,9.058,9.222,9.263,9.381,9.414,9.482,9.559,9.594,9.667,9.782,9.803,9.956,10.08,10.145,10.295,10.326,10.35,10.428,10.462,10.517,10.571,10.61,10.671,10.77,10.906,10.991,11.115,11.194,11.242,11.265,11.444,11.478,11.609,11.902,11.919,11.989,12.096,12.146,12.173,12.22,12.563,12.614,12.695,12.732,12.887,13.013,13.18,13.323,13.382,13.456,13.479,13.522,13.563,13.709,13.744,13.773,13.92,13.955,14.0,14.075,14.122,14.142,14.237,14.273,14.315,14.403,14.46,14.488,14.604,14.707,14.754,14.798,14.881,14.941,15.048,15.069,15.122,15.285,15.321,15.358,15.423,15.602,15.743,15.765,15.778,15.871,15.958,15.975,16.056,16.137,16.312,16.357,16.514,16.626,16.67,16.805,16.848,16.888,17.053,17.065,17.168,17.226,17.261,17.407,17.476,17.51,17.568,17.613,17.639,17.703,17.757,18.205,18.236,18.266,18.332,18.408,18.433,18.51,18.572,18.614,18.697,18.733,18.821,18.846,18.9,18.986,19.024,19.094,19.287,19.312,19.371,19.48,19.507,19.593,19.777,19.857,19.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.048,0.163,0.247,0.366,0.466,0.53,0.582,0.618,0.685,0.703,0.866,1.101,1.219,1.264,1.286,1.42,1.503,1.53,1.568,1.597,1.739,1.799,1.855,1.887,1.912,1.993,2.079,2.109,2.174,2.236,2.349,2.49,2.516,2.575,2.594,2.621,2.64,2.788,2.819,2.869,2.943,3.029,3.063,3.118,3.141,3.187,3.199,3.228,3.26,3.337,3.388,3.504,3.6,3.693,3.715,3.76,3.8,3.817,3.863,4.081,4.106,4.14,4.217,4.257,4.334,4.576,4.668,4.739,4.839,4.995,5.027,5.047,5.124,5.202,5.326,5.438,5.529,5.64,5.659,5.724,5.94,5.986,6.041,6.076,6.104,6.164,6.33,6.375,6.42,6.499,6.552,6.599,6.631,6.715,6.813,6.842,6.98,7.098,7.167,7.27,7.303,7.332,7.389,7.432,7.46,7.582,7.789,7.918,8.014,8.039,8.122,8.156,8.202,8.273,8.296,8.33,8.354,8.465,8.5,8.543,8.581,8.625,8.698,8.73,8.812,8.839,8.906,8.942,8.986,9.096,9.16,9.268,9.352,9.522,9.565,9.584,9.615,9.767,9.873,9.993,10.053,10.072,10.092,10.109,10.148,10.38,10.503,10.618,10.657,10.703,10.752,10.788,10.851,10.874,10.894,10.912,10.961,11.011,11.142,11.378,11.402,11.605,11.642,11.683,11.804,11.828,12.005,12.201,12.249,12.277,12.382,12.418,12.571,12.682,12.769,12.79,12.905,13.053,13.094,13.115,13.223,13.315,13.351,13.385,13.401,13.467,13.501,13.541,13.688,13.707,13.761,13.818,13.995,14.037,14.189,14.24,14.274,14.32,14.481,14.532,14.548,14.684,14.708,14.766,14.847,14.97,15.011,15.111,15.214,15.448,15.483,15.614,15.643,15.684,15.712,15.755,15.771,15.805,15.882,15.904,15.953,15.984,16.145,16.248,16.314,16.385,16.456,16.508,16.593,16.666,16.681,16.697,16.719,16.781,16.928,16.99,17.081,17.169,17.185,17.337,17.362,17.477,17.522,17.706,17.737,17.888,17.928,17.958,17.987,18.159,18.205,18.255,18.282,18.304,18.349,18.55,18.605,18.704,18.786,18.879,19.024,19.062,19.193,19.235,19.28,19.39,19.42,19.48,19.517,19.583,19.624,19.697,19.727,19.877,19.925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.045,0.139,0.225,0.279,0.313,0.367,0.386,0.409,0.438,0.462,0.612,0.73,0.886,0.929,1.024,1.063,1.231,1.286,1.366,1.473,1.576,1.709,1.843,1.912,1.978,2.005,2.03,2.117,2.155,2.299,2.338,2.384,2.41,2.629,2.876,2.91,2.936,3.02,3.076,3.147,3.181,3.215,3.276,3.296,3.38,3.399,3.511,3.587,3.649,3.737,3.807,3.985,4.015,4.06,4.106,4.15,4.185,4.271,4.295,4.365,4.399,4.455,4.504,4.663,4.737,4.762,4.788,4.851,4.889,5.001,5.028,5.091,5.211,5.341,5.452,5.56,5.661,5.708,5.744,5.774,5.804,5.876,6.043,6.144,6.233,6.263,6.332,6.373,6.444,6.487,6.542,6.607,6.666,6.783,7.079,7.212,7.287,7.31,7.338,7.384,7.456,7.498,7.514,7.541,7.586,7.628,7.719,7.804,7.876,7.927,8.182,8.235,8.379,8.47,8.536,8.582,8.618,8.652,8.673,8.705,8.753,8.784,8.918,8.961,9.099,9.146,9.193,9.233,9.273,9.371,9.393,9.423,9.568,9.691,9.727,9.792,9.851,9.906,10.006,10.042,10.11,10.19,10.266,10.304,10.325,10.451,10.478,10.556,10.597,10.679,10.739,10.77,10.811,10.849,10.866,10.911,10.937,10.968,11.045,11.1,11.117,11.173,11.192,11.297,11.344,11.436,11.512,11.532,11.582,11.656,11.705,11.772,11.809,11.833,11.881,11.978,12.204,12.298,12.394,12.446,12.519,12.633,12.767,12.813,12.832,12.86,12.891,12.97,13.065,13.23,13.307,13.33,13.457,13.479,13.535,13.612,13.796,13.831,13.929,13.947,14.077,14.177,14.209,14.27,14.293,14.422,14.494,14.516,14.626,14.779,14.864,14.881,14.961,15.125,15.153,15.322,15.361,15.621,15.666,15.727,15.808,15.845,15.947,16.067,16.128,16.228,16.273,16.381,16.475,16.497,16.746,16.857,16.922,17.098,17.152,17.317,17.343,17.426,17.457,17.496,17.534,17.65,17.74,17.792,17.836,17.925,18.028,18.064,18.129,18.161,18.288,18.321,18.439,18.494,18.548,18.576,18.682,18.731,18.838,18.944,19.098,19.193,19.221,19.363,19.444,19.507,19.628,19.66,19.762,19.836,19.892,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.039,0.094,0.132,0.174,0.371,0.392,0.451,0.493,0.516,0.542,0.603,0.662,0.718,0.858,0.943,1.031,1.069,1.093,1.141,1.339,1.431,1.536,1.557,1.69,1.738,1.859,1.947,1.978,1.994,2.024,2.089,2.119,2.168,2.213,2.315,2.398,2.547,2.617,2.647,2.787,2.856,2.917,3.122,3.155,3.198,3.273,3.322,3.351,3.436,3.462,3.499,3.628,3.807,3.905,4.141,4.265,4.416,4.463,4.527,4.74,4.816,4.845,4.929,5.034,5.095,5.189,5.271,5.302,5.337,5.369,5.389,5.433,5.476,5.535,5.663,5.782,5.841,5.883,5.926,6.02,6.114,6.158,6.189,6.235,6.279,6.366,6.414,6.51,6.57,6.655,6.782,6.846,6.888,6.932,6.969,7.033,7.072,7.161,7.196,7.227,7.36,7.373,7.403,7.449,7.485,7.551,7.566,7.583,7.63,7.659,7.713,7.728,7.779,7.835,7.923,7.964,8.036,8.09,8.15,8.183,8.24,8.295,8.33,8.388,8.491,8.843,8.898,8.929,9.204,9.274,9.321,9.413,9.472,9.554,9.64,9.711,9.801,9.857,9.974,10.028,10.22,10.299,10.345,10.411,10.481,10.518,10.623,10.656,10.782,10.848,10.885,10.993,11.093,11.135,11.209,11.229,11.289,11.468,11.638,11.715,11.852,11.871,11.934,11.992,12.086,12.143,12.26,12.375,12.434,12.461,12.649,12.673,12.731,12.796,12.835,12.911,12.965,13.056,13.086,13.131,13.175,13.288,13.354,13.378,13.436,13.455,13.476,13.572,13.623,13.717,13.763,13.786,13.835,13.869,13.911,13.953,13.992,14.027,14.061,14.149,14.198,14.254,14.278,14.304,14.358,14.404,14.475,14.58,14.622,14.794,14.819,14.849,14.882,14.948,14.971,15.01,15.063,15.12,15.169,15.341,15.421,15.462,15.5,15.531,15.61,15.646,15.677,15.731,15.784,15.806,15.89,15.965,16.024,16.072,16.276,16.317,16.352,16.406,16.445,16.555,16.614,16.637,16.656,16.677,16.809,16.899,17.032,17.07,17.237,17.254,17.329,17.361,17.434,17.552,17.686,17.778,17.826,17.9,18.041,18.111,18.157,18.307,18.354,18.398,18.434,18.512,18.63,18.682,18.739,18.784,18.883,19.096,19.17,19.207,19.243,19.27,19.313,19.348,19.391,19.553,19.711,19.739,19.762,19.854,19.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
